base_name,battery_percent_final,charging_minutes,current_node_final,deliveries_made,drone_id,escenario,escenario_etiqueta,factor_demanda_inventario,factor_demanda_organos,flight_minutes,minutos_simulacion,role,semilla,simulacion,status_final,utilizacion_operativa_pct,utilizacion_vuelo_pct
BASE NORTE CAPITAL,92.1165261234443,1917,BASE NORTE CAPITAL,268,B003,estres_1_base,Base,1.0,1.0,2356,20160,base,71,4,available,21.195436507936506,11.686507936507937
BASE NORTE CAPITAL,81.66618204238016,2082,BASE NORTE CAPITAL,293,B004,estres_1_base,Base,1.0,1.0,2562,20160,base,71,4,available,23.035714285714285,12.708333333333332
BASE NORTE CAPITAL,78.06818351271632,2140,BASE NORTE CAPITAL,261,B005,estres_1_base,Base,1.0,1.0,2624,20160,base,71,4,available,23.63095238095238,13.015873015873018
BASE NORTE CAPITAL,100.0,2239,BASE NORTE CAPITAL,289,B006,estres_1_base,Base,1.0,1.0,2730,20160,base,71,4,available,24.647817460317462,13.541666666666666
BASE NORTE CAPITAL,90.37050450989548,1912,BASE NORTE CAPITAL,273,B007,estres_1_base,Base,1.0,1.0,2388,20160,base,71,4,available,21.32936507936508,11.845238095238095
BASE ESTE CORREDOR,100.0,726,BASE ESTE CORREDOR,57,B008,estres_1_base,Base,1.0,1.0,880,20160,base,71,4,available,7.966269841269841,4.365079365079365
BASE ESTE CORREDOR,59.01038534100762,1503,BASE ESTE CORREDOR,111,B009,estres_1_base,Base,1.0,1.0,1898,20160,base,71,4,available,16.870039682539684,9.41468253968254
BASE ESTE CORREDOR,20.5662853398,1157,BASE ESTE CORREDOR,105,B010,estres_1_base,Base,1.0,1.0,1454,20160,base,71,4,available,12.95138888888889,7.212301587301587
BASE ESTE CORREDOR,51.84296940360653,1345,BASE ESTE CORREDOR,106,B011,estres_1_base,Base,1.0,1.0,1658,20160,base,71,4,available,14.895833333333334,8.22420634920635
BASE SUR FUENLABRADA,47.22493558524564,1685,BASE SUR FUENLABRADA,231,B012,estres_1_base,Base,1.0,1.0,2068,20160,base,71,4,available,18.61607142857143,10.257936507936508
BASE SUR FUENLABRADA,49.04011670289788,1944,BASE SUR FUENLABRADA,242,B013,estres_1_base,Base,1.0,1.0,2366,20160,base,71,4,available,21.378968253968253,11.73611111111111
BASE SUR FUENLABRADA,32.99401364531499,1629,BASE SUR FUENLABRADA,223,B014,estres_1_base,Base,1.0,1.0,1996,20160,base,71,4,available,17.981150793650794,9.90079365079365
Hospital Asociado Universitario Guadarrama,67.05557864947107,45,Hospital Universitario Infanta Elena,3,H001,estres_1_base,Base,1.0,1.0,87,20160,hospital,71,4,available,0.6547619047619048,0.43154761904761907
Hospital Asociado Universitario Guadarrama,100.0,0,Hospital Asociado Universitario Guadarrama,0,H002,estres_1_base,Base,1.0,1.0,0,20160,hospital,71,4,available,0.0,0.0
Hospital Asociado Universitario Guadarrama,100.0,0,Hospital Asociado Universitario Guadarrama,0,H003,estres_1_base,Base,1.0,1.0,0,20160,hospital,71,4,available,0.0,0.0
Hospital El Escorial,100.0,0,Hospital El Escorial,0,H004,estres_1_base,Base,1.0,1.0,0,20160,hospital,71,4,available,0.0,0.0
Hospital General Universitario Gregorio Marañón,72.24257547513145,0,Hospital Universitario de Torrejón,1,H005,estres_1_base,Base,1.0,1.0,16,20160,hospital,71,4,available,0.07936507936507936,0.07936507936507936
Hospital La Fuenfría,26.978923952566348,0,Hospital Universitario 12 de Octubre,2,H006,estres_1_base,Base,1.0,1.0,40,20160,hospital,71,4,available,0.1984126984126984,0.1984126984126984
Hospital La Fuenfría,100.0,0,Hospital La Fuenfría,0,H007,estres_1_base,Base,1.0,1.0,0,20160,hospital,71,4,available,0.0,0.0
Hospital Universitario 12 de Octubre,64.66654360522993,0,Hospital Universitario Fundación Alcorcón,2,H008,estres_1_base,Base,1.0,1.0,21,20160,hospital,71,4,available,0.10416666666666667,0.10416666666666667
Hospital Universitario de Fuenlabrada,40.55343329675433,0,Hospital Universitario de Torrejón,2,H009,estres_1_base,Base,1.0,1.0,33,20160,hospital,71,4,available,0.1636904761904762,0.1636904761904762
Hospital Universitario de Torrejón,100.0,41,Hospital La Fuenfría,1,H010,estres_1_base,Base,1.0,1.0,46,20160,hospital,71,4,available,0.43154761904761907,0.2281746031746032
Hospital Universitario del Sureste,100.0,0,Hospital Universitario del Sureste,0,H011,estres_1_base,Base,1.0,1.0,0,20160,hospital,71,4,available,0.0,0.0
Hospital Universitario Infanta Cristina,77.66189123359285,0,Hospital Universitario 12 de Octubre,1,H012,estres_1_base,Base,1.0,1.0,13,20160,hospital,71,4,available,0.06448412698412698,0.06448412698412698
Hospital Universitario Infanta Elena,100.0,0,Hospital Universitario Infanta Elena,0,H013,estres_1_base,Base,1.0,1.0,0,20160,hospital,71,4,available,0.0,0.0
Hospital Universitario Infanta Elena,100.0,0,Hospital Universitario Infanta Elena,0,H014,estres_1_base,Base,1.0,1.0,0,20160,hospital,71,4,available,0.0,0.0
Hospital Universitario Infanta Elena,100.0,0,Hospital Universitario Infanta Elena,0,H015,estres_1_base,Base,1.0,1.0,0,20160,hospital,71,4,available,0.0,0.0
Hospital Universitario Infanta Sofía,100.0,0,Hospital Universitario Infanta Sofía,0,H016,estres_1_base,Base,1.0,1.0,0,20160,hospital,71,4,available,0.0,0.0
