base_name,battery_percent_final,charging_minutes,current_node_final,deliveries_made,drone_id,escenario,escenario_etiqueta,factor_demanda_inventario,factor_demanda_organos,flight_minutes,minutos_simulacion,role,semilla,simulacion,status_final,utilizacion_operativa_pct,utilizacion_vuelo_pct
Hospital Asociado Universitario Guadarrama,100.0,0,Hospital Asociado Universitario Guadarrama,0,H002,estres_1_base,Base,1.0,1.0,0,20160,hospital,71,4,available,0.0,0.0
Hospital El Escorial,100.0,0,Hospital El Escorial,0,H003,estres_1_base,Base,1.0,1.0,0,20160,hospital,71,4,available,0.0,0.0
Hospital General Universitario Gregorio Marañón,72.24257547513145,0,Hospital Universitario de Torrejón,1,H004,estres_1_base,Base,1.0,1.0,16,20160,hospital,71,4,available,0.07936507936507936,0.07936507936507936
Hospital La Fuenfría,26.978923952566348,0,Hospital Universitario 12 de Octubre,2,H005,estres_1_base,Base,1.0,1.0,40,20160,hospital,71,4,available,0.1984126984126984,0.1984126984126984
Hospital La Fuenfría,100.0,0,Hospital La Fuenfría,0,H006,estres_1_base,Base,1.0,1.0,0,20160,hospital,71,4,available,0.0,0.0
Hospital Universitario 12 de Octubre,64.66654360522993,0,Hospital Universitario Fundación Alcorcón,2,H007,estres_1_base,Base,1.0,1.0,21,20160,hospital,71,4,available,0.10416666666666667,0.10416666666666667
Hospital Universitario de Fuenlabrada,40.55343329675433,0,Hospital Universitario de Torrejón,2,H008,estres_1_base,Base,1.0,1.0,33,20160,hospital,71,4,available,0.1636904761904762,0.1636904761904762
Hospital Universitario de Torrejón,100.0,51,Hospital La Fuenfría,1,H009,estres_1_base,Base,1.0,1.0,46,20160,hospital,71,4,available,0.48115079365079366,0.2281746031746032
Hospital Universitario del Sureste,100.0,0,Hospital Universitario del Sureste,0,H010,estres_1_base,Base,1.0,1.0,0,20160,hospital,71,4,available,0.0,0.0
Hospital Universitario Infanta Cristina,77.66189123359285,0,Hospital Universitario 12 de Octubre,1,H011,estres_1_base,Base,1.0,1.0,13,20160,hospital,71,4,available,0.06448412698412698,0.06448412698412698
Hospital Universitario Infanta Elena,100.0,0,Hospital Universitario Infanta Elena,0,H012,estres_1_base,Base,1.0,1.0,0,20160,hospital,71,4,available,0.0,0.0
Hospital Universitario Infanta Sofía,100.0,0,Hospital Universitario Infanta Sofía,0,H013,estres_1_base,Base,1.0,1.0,0,20160,hospital,71,4,available,0.0,0.0
Hospital Universitario Infanta Sofía,100.0,0,Hospital Universitario Infanta Sofía,0,H014,estres_1_base,Base,1.0,1.0,0,20160,hospital,71,4,available,0.0,0.0
Hospital Universitario José Germain,31.293440577864104,0,Hospital Universitario Rey Juan Carlos,3,H015,estres_1_base,Base,1.0,1.0,39,20160,hospital,71,4,available,0.19345238095238096,0.19345238095238096
Hospital Universitario La Paz,50.218055238588434,0,Hospital Universitario General de Villalba,2,H016,estres_1_base,Base,1.0,1.0,27,20160,hospital,71,4,available,0.13392857142857142,0.13392857142857142
Hospital Universitario Príncipe de Asturias,100.0,0,Hospital Universitario Príncipe de Asturias,0,H017,estres_1_base,Base,1.0,1.0,0,20160,hospital,71,4,available,0.0,0.0
Hospital Universitario Puerta de Hierro Majadahonda,100.0,0,Hospital Universitario Puerta de Hierro Majadahonda,0,H018,estres_1_base,Base,1.0,1.0,0,20160,hospital,71,4,available,0.0,0.0
Hospital Universitario Puerta de Hierro Majadahonda,100.0,0,Hospital Universitario Puerta de Hierro Majadahonda,0,H019,estres_1_base,Base,1.0,1.0,0,20160,hospital,71,4,available,0.0,0.0
Hospital Universitario Ramón y Cajal,100.0,56,Hospital La Fuenfría,2,H020,estres_1_base,Base,1.0,1.0,53,20160,hospital,71,4,available,0.5406746031746031,0.2628968253968254
BASE NOROESTE,29.067040519561044,1182,BASE NOROESTE,138,B001,estres_1_base,Base,1.0,1.0,1214,20160,base,72,5,available,11.884920634920634,6.021825396825397
BASE NOROESTE,27.192642729854636,1560,BASE NOROESTE,161,B002,estres_1_base,Base,1.0,1.0,1592,20160,base,72,5,available,15.634920634920634,7.896825396825396
BASE NORTE CAPITAL,59.14854575206629,3327,BASE NORTE CAPITAL,372,B003,estres_1_base,Base,1.0,1.0,3358,20160,base,72,5,available,33.15972222222222,16.65674603174603
BASE NORTE CAPITAL,56.72891738940584,3037,BASE NORTE CAPITAL,344,B004,estres_1_base,Base,1.0,1.0,3074,20160,base,72,5,available,30.312499999999996,15.248015873015873
BASE NORTE CAPITAL,73.20813857863028,3299,BASE NORTE CAPITAL,362,B005,estres_1_base,Base,1.0,1.0,3326,20160,base,72,5,available,32.86210317460318,16.498015873015873
BASE NORTE CAPITAL,62.748293421734004,3149,BASE NORTE CAPITAL,322,B006,estres_1_base,Base,1.0,1.0,3152,20160,base,72,5,available,31.254960317460316,15.634920634920634
BASE ESTE CORREDOR,20.890757844170075,1343,BASE ESTE CORREDOR,90,B007,estres_1_base,Base,1.0,1.0,1342,20160,base,72,5,available,13.318452380952381,6.656746031746032
BASE ESTE CORREDOR,100.0,1482,BASE ESTE CORREDOR,96,B008,estres_1_base,Base,1.0,1.0,1436,20160,base,72,5,available,14.47420634920635,7.123015873015873
BASE ESTE CORREDOR,22.18851660037361,1862,BASE ESTE CORREDOR,112,B009,estres_1_base,Base,1.0,1.0,1916,20160,base,72,5,available,18.740079365079364,9.503968253968253
BASE ESTE CORREDOR,21.97918083479462,1396,BASE ESTE CORREDOR,93,B010,estres_1_base,Base,1.0,1.0,1430,20160,base,72,5,available,14.017857142857142,7.093253968253968
BASE SUR FUENLABRADA,22.5444999603968,2320,BASE SUR FUENLABRADA,242,B011,estres_1_base,Base,1.0,1.0,2338,20160,base,72,5,available,23.10515873015873,11.597222222222223
